Sample,Weight,Label,Prediction_0,Prediction_1,Prediction_2,Prediction_3,Prediction_4,Prediction_5,Prediction_6,Prediction_7,Prediction_8,Prediction_9,Prediction_10,Prediction_11,Prediction_12,Prediction_13,Prediction_14,Prediction_15
HIP00110,0.002136752136752137,0.0,0.6865424,0.7093563,0.5181714,0.6797108,0.61210924,0.49324155,0.5753537,0.62203866,0.5064193,0.5888351,0.6314412,0.595483,0.28041518,0.2594163,0.40709877,0.6992868
HIP00169,0.002136752136752137,0.0,0.4149984,0.43118978,0.43302086,0.420903,0.63018376,0.55070144,0.49954507,0.47381675,0.4740912,0.46493256,0.4023794,0.44059974,0.40656316,0.79134595,0.44734675,0.5291611
HIP00594,0.0025,1.0,0.34775338,0.4401201,0.54506093,0.38240725,0.51418775,0.63009447,0.27711302,0.5084398,0.2293579,0.43753254,0.6461108,0.4883856,0.8660352,0.60969293,0.54437816,0.56802654
HIP00602,0.002136752136752137,0.0,0.68777573,0.39590424,0.55593646,0.61147034,0.48399344,0.61327785,0.7041093,0.46924642,0.57182354,0.49138588,0.36609977,0.49870244,0.37075967,0.5254453,0.6376704,0.49120077
HIP00614,0.002136752136752137,0.0,0.32679385,0.4290457,0.6943264,0.3295342,0.43511704,0.7012873,0.7433291,0.33450755,0.33701652,0.47434235,0.6611224,0.38774386,0.6936939,0.439555,0.77448046,0.50953853
HIP00640,0.002136752136752137,0.0,0.48316383,0.42180958,0.60213554,0.55624986,0.4417213,0.6621517,0.67798644,0.4717302,0.45084494,0.40689492,0.54714966,0.27287927,0.4281974,0.568733,0.49478784,0.40313455
HIP00710,0.002136752136752137,0.0,0.38928366,0.31577677,0.4206434,0.36131707,0.4619054,0.36762756,0.42009377,0.44366327,0.46297804,0.46296194,0.41604683,0.33085167,0.51186085,0.5973296,0.35656464,0.27419704
HIP00715,0.002136752136752137,0.0,0.4356007,0.32880005,0.38377985,0.4731201,0.45619175,0.3383575,0.51424265,0.41052714,0.47868502,0.33368534,0.48771665,0.39738762,0.23247981,0.41510612,0.40283987,0.40375233
HIP00734,0.002136752136752137,0.0,0.42441887,0.47079736,0.69357705,0.43669614,0.43816763,0.692976,0.3200125,0.5023485,0.4665107,0.5992354,0.5342381,0.4540056,0.6237647,0.5939988,0.63379216,0.4823028
HIP00761,0.0025,1.0,0.46079832,0.48483396,0.58152205,0.5993128,0.28199348,0.7063453,0.47546464,0.5413003,0.60790664,0.39262605,0.6615296,0.4345955,0.67849636,0.5828921,0.8109755,0.49111208
HIP00769,0.002136752136752137,0.0,0.33184403,0.18316954,0.61592305,0.4956,0.43043584,0.66310704,0.54828835,0.3926475,0.49444497,0.20632508,0.6067928,0.21551752,0.6257534,0.69993734,0.6479734,0.34001967
HIP00771,0.002136752136752137,0.0,0.3768077,0.28691107,0.40550476,0.38880086,0.46926522,0.4508113,0.4682823,0.42924133,0.44486046,0.32173282,0.49245203,0.26558632,0.45966092,0.52478576,0.4030623,0.4000597
HIP00773,0.002136752136752137,0.0,0.16167837,0.051376373,0.6876867,0.17165977,0.27198565,0.708568,0.20604238,0.20290864,0.13498893,0.046301186,0.77413356,0.07767314,0.7246121,0.797017,0.6165973,0.11062077
HIP00775,0.0025,1.0,0.6170184,0.6249786,0.50611794,0.4512451,0.8111601,0.36081994,0.6895169,0.44277647,0.59568477,0.5204185,0.36481822,0.5013647,0.56759626,0.59694254,0.42577448,0.42774934
HIP00779,0.002136752136752137,0.0,0.29766917,0.51612306,0.40395626,0.36266786,0.36773488,0.44685048,0.63061357,0.32819855,0.40797964,0.30111656,0.45601997,0.3466152,0.5237432,0.4457058,0.5237377,0.38608932
HIP00805,0.002136752136752137,0.0,0.6954814,0.6535592,0.23079935,0.41265938,0.5000298,0.21513444,0.51264375,0.46390668,0.58400446,0.44982046,0.42446905,0.47271395,0.22057691,0.35139993,0.30573386,0.4855438
HIP00813,0.0025,1.0,0.38487837,0.38620996,0.6934935,0.39243186,0.41559505,0.79649425,0.701484,0.42436364,0.6762266,0.61398274,0.5300407,0.48422295,0.6874218,0.59828174,0.5878273,0.46151942
HIP00819,0.002136752136752137,0.0,0.3834113,0.22230545,0.57512945,0.43024758,0.30674827,0.5083356,0.43437555,0.4320345,0.3762971,0.20503834,0.579889,0.30742362,0.55074555,0.5908933,0.65649116,0.46571118
HIP00822,0.002136752136752137,0.0,0.4153163,0.41206092,0.6787633,0.46035612,0.46513534,0.6060603,0.5553553,0.53653437,0.5992337,0.35421044,0.77766204,0.38003796,0.39638534,0.47826117,0.68415016,0.65995306
HIP00825,0.002136752136752137,0.0,0.1824215,0.1810663,0.78632545,0.28907156,0.17108259,0.5377753,0.2129798,0.221953,0.15630108,0.28485417,0.6555624,0.17035195,0.746987,0.81578165,0.74839395,0.17187202
HIP00826,0.002136752136752137,0.0,0.4314451,0.43835932,0.6251601,0.3947977,0.3894131,0.48890176,0.37916884,0.45406154,0.52934355,0.54339784,0.6201032,0.5994788,0.7187042,0.47890472,0.5279137,0.52906114
HIP00838,0.0025,1.0,0.51606953,0.26852703,0.44854167,0.31738943,0.31683904,0.70142037,0.64490217,0.3542213,0.6927858,0.39131236,0.8293508,0.39242738,0.6290817,0.70408356,0.510625,0.28316993
HIP00851,0.0025,1.0,0.46487856,0.5071835,0.4923932,0.32206956,0.34277007,0.52421165,0.38518316,0.5777334,0.5342426,0.42034853,0.64435613,0.7272385,0.662882,0.52022624,0.6296016,0.32518023
HIP00898,0.0025,1.0,0.54396385,0.52901393,0.4990894,0.40818524,0.31529635,0.46467894,0.5390977,0.4797623,0.38395,0.5484744,0.46762615,0.6849043,0.51535565,0.5388319,0.39387217,0.5991655
HIP00904,0.002136752136752137,0.0,0.39957696,0.3732462,0.535273,0.6545795,0.589817,0.76913047,0.5743091,0.5209994,0.5820061,0.39141297,0.51857245,0.35476127,0.34346732,0.6095082,0.6017052,0.5679072
