Sample,Weight,Label,Prediction_0,Prediction_1,Prediction_2,Prediction_3,Prediction_4,Prediction_5,Prediction_6,Prediction_7,Prediction_8,Prediction_9,Prediction_10,Prediction_11,Prediction_12,Prediction_13,Prediction_14,Prediction_15
HIP00110,0.002136752136752137,0.0,0.37178308,0.68750834,0.50322795,0.45572597,0.7211145,0.62947357,0.45691118,0.5758707,0.6517224,0.5235514,0.677671,0.3740768,0.6339532,0.6132376,0.3900959,0.41427156
HIP00169,0.002136752136752137,0.0,0.6209231,0.46210834,0.5763178,0.5228971,0.41876078,0.5064098,0.66075456,0.5402782,0.50251436,0.3758375,0.39503458,0.47821456,0.64818627,0.4845973,0.3413668,0.6956583
HIP00594,0.0025,1.0,0.7199048,0.3231943,0.30149764,0.6938282,0.41262496,0.51413286,0.2358591,0.67954206,0.29989505,0.6897167,0.40485668,0.38720036,0.27224773,0.3950272,0.86145544,0.7339195
HIP00602,0.002136752136752137,0.0,0.49360323,0.5931736,0.5938993,0.5557644,0.48225236,0.4975247,0.5590671,0.38407764,0.42936197,0.4310415,0.49848834,0.5615569,0.5360203,0.66832906,0.42460787,0.29405177
HIP00614,0.002136752136752137,0.0,0.6296098,0.29093385,0.40170315,0.76184094,0.51628363,0.2579691,0.47176647,0.12075159,0.33543718,0.59908444,0.47381267,0.51740867,0.23668075,0.29019624,0.6319093,0.3713922
HIP00640,0.002136752136752137,0.0,0.54101634,0.49666607,0.5188626,0.5793279,0.54549253,0.23081866,0.62451065,0.13079664,0.4416265,0.69034624,0.41675454,0.6155872,0.57153684,0.396689,0.48741633,0.1432471
HIP00710,0.002136752136752137,0.0,0.29111886,0.27177685,0.46362936,0.41247633,0.26422948,0.29771513,0.38985568,0.30808645,0.4671734,0.31329352,0.30959064,0.51904696,0.42384374,0.3249313,0.32979137,0.79423547
HIP00715,0.002136752136752137,0.0,0.35970598,0.5949044,0.5529899,0.3998658,0.44413015,0.36278468,0.52828574,0.2662918,0.46641716,0.3481986,0.44015166,0.37152618,0.423514,0.59322286,0.32051986,0.545339
HIP00734,0.002136752136752137,0.0,0.7227311,0.3792696,0.49883574,0.611095,0.44220608,0.7165149,0.56260026,0.7722967,0.39982504,0.58704597,0.4939655,0.32360843,0.54556906,0.4451806,0.6460202,0.63739955
HIP00761,0.0025,1.0,0.7506246,0.7751571,0.5226229,0.8226104,0.4902516,0.6189062,0.3623192,0.5898905,0.52594066,0.6266735,0.5172478,0.23684764,0.38588485,0.6418819,0.53793585,0.5148189
HIP00769,0.002136752136752137,0.0,0.66110146,0.526464,0.3228386,0.7502966,0.3515246,0.21509019,0.34920084,0.08552703,0.27324235,0.49661753,0.35082117,0.45491078,0.3325997,0.3440613,0.66024715,0.23091
HIP00771,0.002136752136752137,0.0,0.49968162,0.41804183,0.5007885,0.4665357,0.43953952,0.18775415,0.3567776,0.23398376,0.47336665,0.4419188,0.560115,0.48621833,0.3355143,0.3478281,0.38045815,0.20396787
HIP00773,0.002136752136752137,0.0,0.68736285,0.255094,0.323248,0.8378506,0.267677,0.033242464,0.38893458,0.011977047,0.09680423,0.6605744,0.2343292,0.48536736,0.19293872,0.12849197,0.7615253,0.1019246
